SMILES,IC50,pIC50,curated_SMILES
CNCc1ccc(C)c(NC(=O)c2ccc(Nc3nc(-c4ccccc4)c4ccccc4n3)cc2)c1,2.5,5.6020599913279625,CNCc1ccc(C)c(NC(=O)c2ccc(Nc3nc(-c4ccccc4)c4ccccc4n3)cc2)c1
O=C(Nc1ccc(C(F)(F)F)c(C(F)(F)F)c1)c1cc(Cl)ccc1O,2.1,5.6777807052660805,O=C(Nc1ccc(C(F)(F)F)c(C(F)(F)F)c1)c1cc(Cl)ccc1O
N#Cc1c(C(F)(F)F)cc(Nc2cnccn2)n2c1nc1ccccc12,2.01,5.696803942579511,N#Cc1c(C(F)(F)F)cc(Nc2cnccn2)n2c1nc1ccccc12
O=C(Nc1ccnc(C(F)(F)F)c1)Nc1ccc(F)c(C(F)(F)F)c1,0.66,6.180456064458132,O=C(Nc1ccnc(C(F)(F)F)c1)Nc1ccc(F)c(C(F)(F)F)c1
CC(=O)[C@]1(Cc2ccccc2)CC[C@]2(C)OO[C@@]1(C)O2,1.8,5.7447274948966935,CC(=O)[C@]1(Cc2ccccc2)CC[C@]2(C)OO[C@@]1(C)O2
CC(=O)[C@@]1(Cc2ccc(C)cc2)CC[C@]2(C)OO[C@@]1(C)O2,7.4,5.130768280269024,CC(=O)[C@@]1(Cc2ccc(C)cc2)CC[C@]2(C)OO[C@@]1(C)O2
CC12CCC3[C@@](C)(OO[C@]3(c3ccccc3)O1)O2,7.7,5.113509274827518,CC12CCC3[C@@](C)(OO[C@]3(c3ccccc3)O1)O2
CC1N=C(c2ccccc2Cl)c2c(/N=N/c3ccc(O)cc3Br)cccc2NC1=O,0.02,7.698970004336019,CC1N=C(c2ccccc2Cl)c2c(/N=N/c3ccc(O)cc3Br)cccc2NC1=O
CC(=O)[C@]1(Cc2ccc(Br)cc2)CC[C@]2(C)OO[C@@]1(C)O2,6.6,5.180456064458132,CC(=O)[C@]1(Cc2ccc(Br)cc2)CC[C@]2(C)OO[C@@]1(C)O2
Nc1nc(NCC2CCC(CNS(=O)(=O)c3ccc4ccccc4c3)CC2)nc2ccccc12,2.0,5.698970004336019,Nc1nc(NCC2CCC(CNS(=O)(=O)c3ccc4ccccc4c3)CC2)nc2ccccc12
N#Cc1c(C(F)(F)F)cc(Nc2ccc(OC(F)(F)F)cc2)n2c1nc1ccccc12,0.2,6.698970004336019,N#Cc1c(C(F)(F)F)cc(Nc2ccc(OC(F)(F)F)cc2)n2c1nc1ccccc12
CS(=O)(=O)c1ccc(C(=O)N(CC2CCCO2)c2nc3ccccc3s2)cc1[N+](=O)[O-],0.4,6.3979400086720375,CS(=O)(=O)c1ccc(C(=O)N(CC2CCCO2)c2nc3ccccc3s2)cc1[N+](=O)[O-]
O=C(Nc1ccnc(C(F)(F)F)c1)Nc1ccc2c(c1)OC(F)(F)O2,0.75,6.1249387366083,O=C(Nc1ccnc(C(F)(F)F)c1)Nc1ccc2c(c1)OC(F)(F)O2
N#Cc1ccc(NC(=O)Nc2ccnc(C(F)(F)F)c2)cc1,3.3,5.481486060122113,N#Cc1ccc(NC(=O)Nc2ccnc(C(F)(F)F)c2)cc1
CCNCCNc1cc(-c2ccc(C(F)(F)F)cc2)c(C#N)c2nc3cc(Cl)c(Cl)cc3n12,0.2,6.698970004336019,CCNCCNc1cc(-c2ccc(C(F)(F)F)cc2)c(C#N)c2nc3cc(Cl)c(Cl)cc3n12
CC1(C)CCC[C@]2(C)C(CC[C@@](C)(O)/C=C/c3ccc(F)cc3)[C@](C)(O)CC[C@@H]12,9.4,5.026872146400302,CC1(C)CCC[C@]2(C)C(CC[C@@](C)(O)/C=C/c3ccc(F)cc3)[C@](C)(O)CC[C@@H]12
CN1CCN(c2c3cc(Cl)ccc3nc3[nH]c4ccccc4c23)CC1,6.27,5.202732459169283,CN1CCN(c2c3cc(Cl)ccc3nc3[nH]c4ccccc4c23)CC1
CN1CCC(Nc2cc(-c3ccc(C(F)(F)F)cc3)c(C#N)c3nc4cc(Cl)c(Cl)cc4n23)CC1,5.18,5.285670240254767,CN1CCC(Nc2cc(-c3ccc(C(F)(F)F)cc3)c(C#N)c3nc4cc(Cl)c(Cl)cc4n23)CC1
N#Cc1c(C(F)(F)F)cc(Nc2ccc(CN3CCOCC3)cc2)n2c1nc1ccccc12,3.41,5.467245621007502,N#Cc1c(C(F)(F)F)cc(Nc2ccc(CN3CCOCC3)cc2)n2c1nc1ccccc12
N#Cc1c(C(F)(F)F)cc(Nc2ccnc(F)c2)n2c1nc1ccccc12,0.75,6.1249387366083,N#Cc1c(C(F)(F)F)cc(Nc2ccnc(F)c2)n2c1nc1ccccc12
N#Cc1c(C(F)(F)F)cc(Nc2ccccc2)n2c1nc1ccccc12,2.81,5.55129368009492,N#Cc1c(C(F)(F)F)cc(Nc2ccccc2)n2c1nc1ccccc12
CC(C)C[C@]12C[C@](C)(OO1)OO2,7.4,5.130768280269024,CC(C)C[C@]12C[C@](C)(OO1)OO2
CC(C)C[C@]12OO[C@](C)(OO1)C2C12CC3CC(CC(C3)C1)C2,1.8,5.7447274948966935,CC(C)C[C@]12OO[C@](C)(OO1)C2C12CC3CC(CC(C3)C1)C2
CC(=O)CCC1(Cc2ccc(Br)cc2)[C@]2(C)OO[C@@]1(C)OO2,8.4,5.075720713938118,CC(=O)CCC1(Cc2ccc(Br)cc2)[C@]2(C)OO[C@@]1(C)OO2
O=C(O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1,2.0,5.698970004336019,O=C(O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1
Cn1c2nc3ccccc3c-2c(N2CCC(N3CCCCC3)CC2)c2cc(Cl)ccc21,7.85,5.105130343254747,Cn1c2nc3ccccc3c-2c(N2CCC(N3CCCCC3)CC2)c2cc(Cl)ccc21
CC1NC(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2NC1=O,0.039,7.4089353929735005,CC1NC(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2NC1=O
CCc1cc(/N=N/c2cccc3c2C(c2ccccc2Cl)=NC(C)C(=O)N3)ccc1O,0.013,7.886056647693163,CCc1cc(/N=N/c2cccc3c2C(c2ccccc2Cl)=NC(C)C(=O)N3)ccc1O
CC1N=C(c2ccccc2Cl)c2c(/N=N/c3ccc(O)c(C(C)C)c3)cccc2NC1=O,0.013,7.886056647693163,CC1N=C(c2ccccc2Cl)c2c(/N=N/c3ccc(O)c(C(C)C)c3)cccc2NC1=O
CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,3.1,5.508638306165727,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1
CS(=O)(=O)c1ccc(Nc2cc(C(F)(F)F)c(C#N)c3nc4ccccc4n23)cc1,0.2,6.698970004336019,CS(=O)(=O)c1ccc(Nc2cc(C(F)(F)F)c(C#N)c3nc4ccccc4n23)cc1
CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,3.7,5.431798275933005,CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
N#Cc1c(-c2ccc(C(F)(F)F)cc2)cc(NCCn2ccnc2)n2c1nc1ccccc12,10.14,4.993962045002682,N#Cc1c(-c2ccc(C(F)(F)F)cc2)cc(NCCn2ccnc2)n2c1nc1ccccc12
CCNCCNc1cc(C2CCCC2)c(C#N)c2nc3ccccc3n12,8.86,5.052566278112949,CCNCCNc1cc(C2CCCC2)c(C#N)c2nc3ccccc3n12
CCNCCNc1cc(-c2ccc(Cl)c(Cl)c2)c(C#N)c2nc3ccccc3n12,1.69,5.772113295386326,CCNCCNc1cc(-c2ccc(Cl)c(Cl)c2)c(C#N)c2nc3ccccc3n12
CC(Nc1cc(C(F)(F)F)cc2nc3cc(Cl)c(Cl)cc3n12)c1ccc(S(C)(=O)=O)cc1,0.2,6.698970004336019,CC(Nc1cc(C(F)(F)F)cc2nc3cc(Cl)c(Cl)cc3n12)c1ccc(S(C)(=O)=O)cc1
COc1ccc(Nc2nc(NCc3ccccc3)c3ccccc3n2)cc1,0.8,6.096910013008056,COc1ccc(Nc2nc(NCc3ccccc3)c3ccccc3n2)cc1
CCNCCNc1cc(-c2cccc(C(F)(F)F)c2)c(C#N)c2nc3ccccc3n12,2.28,5.642065152999546,CCNCCNc1cc(-c2cccc(C(F)(F)F)c2)c(C#N)c2nc3ccccc3n12
CCNCCNc1cc(-c2ccc(C(F)(F)F)cc2)c(C#N)c2nc3cccc(Br)c3n12,2.89,5.539102157243452,CCNCCNc1cc(-c2ccc(C(F)(F)F)cc2)c(C#N)c2nc3cccc(Br)c3n12
N#Cc1c(C(F)(F)F)cc(NCc2ccc(F)cc2)n2c1nc1cc(Cl)cc(Cl)c12,0.77,6.113509274827518,N#Cc1c(C(F)(F)F)cc(NCc2ccc(F)cc2)n2c1nc1cc(Cl)cc(Cl)c12
N#Cc1c(C(F)(F)F)cc(NCc2ccco2)n2c1nc1cc(Cl)c(Cl)cc12,0.47,6.327902142064283,N#Cc1c(C(F)(F)F)cc(NCc2ccco2)n2c1nc1cc(Cl)c(Cl)cc12
Cn1c2nc3ccccc3c-2c(N2CCN(CCO)CC2)c2cc(Cl)ccc21,3.29,5.482804102050026,Cn1c2nc3ccccc3c-2c(N2CCN(CCO)CC2)c2cc(Cl)ccc21
COc1ccc(Oc2ccc([C@H](C)N(C)c3ncc4c(N)nc(N)nc4n3)cc2)cc1,7.9,5.102372908709558,COc1ccc(Oc2ccc([C@H](C)N(C)c3ncc4c(N)nc(N)nc4n3)cc2)cc1
O=C(CCl)NCCOc1ccc(Cl)cc1Cl,3.4,5.468521082957745,O=C(CCl)NCCOc1ccc(Cl)cc1Cl
N#Cc1c(C(F)(F)F)cc(Nc2ccc(OC(F)(F)F)cc2)n2c1nc1cc(Cl)c(Cl)cc12,1.49,5.826813731587726,N#Cc1c(C(F)(F)F)cc(Nc2ccc(OC(F)(F)F)cc2)n2c1nc1cc(Cl)c(Cl)cc12
